,"(1, 0.0)","(1, 0.25)","(1, 0.5)","(1, 0.75)","(1, 1.0)"
qp02yc,0,0,0,0,0
qp02yf,0,0,0,0,0
qp02yu,0,0,0,0,0
qp02yv,0,0,0,0,0
qp02yy,0,0,0,0,0
qp02yz,0,0,0,0,0
qp02z1,0,0,0,0,0
qp02z3,0,0,0,0,0
qp02z4,0,0,0,0,0
qp02z5,0,0,0,0,0
qp02z6,0,0,0,0,0
qp02z7,0,0,0,0,0
qp02z9,0,0,0,0,0
qp02zc,0,0,0,0,0
qp02zd,0,0,0,0,0
qp02ze,0,0,0,0,0
qp02zf,0,0,0,0,0
qp02zg,0,0,0,0,0
qp02zh,0,0,0,0,0
qp02zj,0,0,0,0,0
qp02zk,0,0,0,0,0
qp02zm,0,0,0,0,0
qp02zn,0,0,0,0,0
qp02zp,0,0,0,0,0
qp02zq,0,0,0,0,0
qp02zr,0,0,0,0,0
qp02zs,0,0,0,0,0
qp02zt,0,0,0,0,0
qp02zu,0,0,0,0,0
qp02zv,0,0,0,0,0
qp02zw,0,0,0,0,0
qp02zx,0,0,0,0,0
qp02zy,0,0,0,0,0
qp02zz,0,0,0,0,0
qp03jq,0,0,0,0,0
qp03jr,0,0,0,0,0
qp03jw,0,0,0,0,0
qp03jx,0,0,0,0,0
qp03jy,0,0,0,0,0
qp03jz,0,0,0,0,0
qp03m2,0,0,0,0,0
qp03m3,0,0,0,0,0
qp03m6,0,0,0,0,0
qp03m7,0,0,0,0,0
qp03m8,0,0,0,0,0
qp03m9,0,0,0,0,0
qp03mb,0,0,0,0,0
qp03mc,0,0,0,0,0
qp03md,0,0,0,0,0
qp03me,0,0,0,0,0
qp03mf,0,0,0,0,0
qp03mg,0,0,0,0,0
qp03mk,0,0,0,0,0
qp03mm,0,0,0,0,0
qp03mq,0,0,0,0,0
qp03mr,0,0,0,0,0
qp03ms,0,0,0,0,0
qp03mt,0,0,0,0,0
qp03mu,0,0,0,0,0
qp03mv,0,0,0,0,0
qp03mw,0,0,0,0,0
qp03mx,0,0,0,0,0
qp03my,0,0,0,0,0
qp03mz,0,0,0,0,0
qp03nb,0,0,0,0,0
qp03nd,0,0,0,0,0
qp03nf,0,0,0,0,0
qp03nn,0,0,0,0,0
qp03np,0,0,0,0,0
qp03nq,0,0,0,0,0
qp03nr,0,0,0,0,0
qp03nw,0,0,0,0,0
qp03nx,0,0,0,0,0
qp03ny,0,0,0,0,0
qp03nz,0,0,0,0,0
qp03p0,0,0,0,0,0
qp03p1,0,0,0,0,0
qp03p2,0,0,0,0,0
qp03p3,0,0,0,0,0
qp03p4,0,0,0,0,0
qp03p5,0,0,0,0,0
qp03p6,0,0,0,0,0
qp03p7,0,0,0,0,0
qp03p8,0,0,0,0,0
qp03p9,0,0,0,0,0
qp03pb,0,0,0,0,0
qp03pc,0,0,0,0,0
qp03pd,0,0,0,0,0
qp03pe,0,0,0,0,0
qp03pf,0,0,0,0,0
qp03pg,0,0,0,0,0
qp03pj,0,0,0,0,0
qp03pk,0,0,0,0,0
qp03pm,0,0,0,0,0
qp03pn,0,0,0,0,0
qp03pp,0,0,0,0,0
qp03pq,0,0,0,0,0
qp03pr,0,0,0,0,0
qp03ps,0,0,0,0,0
qp03pt,0,0,0,0,0
qp03pu,0,0,0,0,0
qp03pv,0,0,0,0,0
qp03pw,0,0,0,0,0
qp03px,0,0,0,0,0
qp03py,0,0,0,0,0
qp03pz,0,0,0,0,0
qp03q0,0,0,0,0,0
qp03q1,0,0,0,0,0
qp03q2,0,0,0,0,0
qp03q3,0,0,0,0,0
qp03q4,0,0,0,0,0
qp03q5,0,0,0,0,0
qp03q6,0,0,0,0,0
qp03q7,0,0,0,0,0
qp03q8,0,0,0,0,0
qp03q9,0,0,0,0,0
qp03qb,0,0,0,0,0
qp03qc,0,0,0,0,0
qp03qd,0,0,0,0,0
qp03qe,0,0,0,0,0
qp03qf,0,0,0,0,0
qp03qg,0,0,0,0,0
qp03qh,0,0,0,0,0
qp03qj,0,0,0,0,0
qp03qk,0,0,0,0,0
qp03qm,0,0,0,0,0
qp03qn,0,0,0,0,0
qp03qp,0,0,0,0,0
qp03qq,0,0,0,0,0
qp03qr,0,0,0,0,0
qp03qs,0,0,0,0,0
qp03qt,0,0,0,0,0
qp03qu,0,0,0,0,0
qp03qv,0,0,0,0,0
qp03qw,0,0,0,0,0
qp03qx,0,0,0,0,0
qp03qy,0,0,0,0,0
qp03qz,0,0,0,0,0
qp03r0,0,0,0,0,0
qp03r1,0,0,0,0,0
qp03r2,0,0,0,0,0
qp03r3,0,0,0,0,0
qp03r4,0,0,0,0,0
qp03r5,0,0,0,0,0
qp03r6,0,0,0,0,0
qp03r7,0,0,0,0,0
qp03r8,0,0,0,0,0
qp03r9,0,0,0,0,0
qp03rb,0,0,0,0,0
qp03rc,0,0,0,0,0
qp03rd,0,0,0,0,0
qp03re,0,0,0,0,0
qp03rf,0,0,0,0,0
qp03rg,0,0,0,0,0
qp03rh,0,0,0,0,0
qp03rj,0,0,0,0,0
qp03rk,0,0,0,0,0
qp03rm,0,0,0,0,0
qp03rn,0,0,0,0,0
qp03rp,0,0,0,0,0
qp03rq,0,0,0,0,0
qp03rr,0,0,0,0,0
qp03rs,0,0,0,0,0
qp03rt,0,0,0,0,0
qp03ru,0,0,0,0,0
qp03rv,0,0,0,0,0
qp03rw,0,0,0,0,0
qp03rx,0,0,0,0,0
qp03ry,0,0,0,0,0
qp03rz,0,0,0,0,0
qp03t2,0,0,0,0,0
qp03t3,0,0,0,0,0
qp03t6,0,0,0,0,0
qp03t7,0,0,0,0,0
qp03t8,0,0,0,0,0
qp03t9,0,0,0,0,0
qp03tb,0,0,0,0,0
qp03tc,0,0,0,0,0
qp03td,0,0,0,0,0
qp03te,0,1,0,0,0
qp03tf,0,0,0,0,0
qp03tg,0,0,0,0,0
qp03tk,0,0,0,0,0
qp03tm,0,0,0,0,0
qp03tq,0,0,0,0,0
qp03tr,0,0,0,0,0
qp03ts,0,0,0,0,0
qp03tt,0,0,0,0,0
qp03tu,0,0,0,0,0
qp03tv,0,0,0,0,0
qp03tw,0,0,0,0,0
qp03tx,0,0,0,0,0
qp03ty,0,0,0,0,0
qp03tz,0,0,0,0,0
qp03v2,0,0,0,0,0
qp03v3,0,0,0,0,0
qp03v9,0,0,0,0,0
qp03vb,0,0,0,0,0
qp03vc,0,0,0,0,0
qp03vd,0,0,0,0,0
qp03vf,0,0,0,0,0
qp03w0,0,0,0,0,0
qp03w1,0,0,0,0,0
qp03w2,0,0,0,0,0
qp03w3,0,0,0,0,0
qp03w4,0,0,0,0,0
qp03w5,0,0,0,0,0
qp03w6,0,0,0,0,0
qp03w7,0,0,0,0,0
qp03w8,0,0,0,0,0
qp03w9,0,0,0,0,0
qp03wb,0,0,0,0,0
qp03wc,0,0,0,0,0
qp03wd,0,0,0,0,0
qp03we,0,0,0,0,0
qp03wf,0,0,0,0,0
qp03wg,0,0,0,0,0
qp03wh,0,0,0,0,0
qp03wj,0,0,0,0,0
qp03wk,0,0,0,0,0
qp03wm,0,0,0,0,0
qp03wn,0,0,0,0,0
qp03wp,0,0,0,0,0
qp03wq,0,0,0,0,0
qp03wr,0,0,0,0,0
qp03ws,0,0,0,0,0
qp03wt,0,0,0,0,0
qp03wu,0,0,0,0,0
qp03wv,0,0,0,0,0
qp03ww,0,0,0,0,0
qp03wx,0,0,0,0,0
qp03wy,0,0,0,0,0
qp03wz,0,0,0,0,0
qp03x0,0,0,0,0,0
qp03x1,0,0,0,0,0
qp03x2,0,0,0,0,0
qp03x3,0,0,0,0,0
qp03x4,0,0,0,0,0
qp03x5,0,0,0,0,0
qp03x6,0,0,0,0,0
qp03x7,0,0,0,0,0
qp03x8,0,0,0,0,0
qp03x9,0,0,0,0,0
qp03xb,0,0,0,0,0
qp03xc,0,0,0,0,0
qp03xd,0,0,0,0,0
qp03xe,0,0,0,0,1
qp03xf,0,0,0,0,0
qp03xg,0,0,0,0,0
qp03xh,0,0,0,0,0
qp03xj,0,0,0,0,0
qp03xk,0,0,0,0,0
qp03xm,0,0,0,0,0
qp03xn,0,0,0,0,0
qp03xp,0,0,0,0,0
qp03xq,0,0,0,0,0
qp03xr,0,0,0,0,0
qp03xs,0,0,0,0,0
qp03xt,0,0,0,0,0
qp03xu,0,0,0,0,0
qp03xv,0,0,0,0,0
qp03xw,0,0,0,0,0
qp03xx,0,0,0,0,0
qp03xy,0,0,0,0,0
qp03xz,0,0,0,0,0
qp03y0,0,0,0,0,0
qp03y1,0,0,0,0,0
qp03y2,0,0,0,0,0
qp03y3,0,0,0,0,0
qp03y4,0,0,0,0,0
qp03y5,0,0,0,0,0
qp03y6,0,0,0,0,0
qp03y7,0,0,0,0,0
qp03y8,0,0,0,0,0
qp03y9,0,0,0,0,0
qp03yb,0,0,0,0,0
qp03yc,0,0,0,0,0
qp03yd,0,0,0,0,0
qp03ye,0,0,0,0,0
qp03yf,0,0,0,0,0
qp03yg,0,0,0,0,0
qp03yh,0,0,0,0,0
qp03yk,0,0,0,0,0
qp03ym,0,0,0,0,0
qp03yn,0,0,0,0,0
qp03yq,0,0,0,0,0
qp03yr,0,0,0,0,0
qp03ys,0,0,0,0,0
qp03yt,0,0,0,0,0
qp03yu,0,0,0,0,0
qp03yv,0,0,0,0,0
qp03yw,0,0,0,0,0
qp03yx,0,0,0,0,0
qp03yy,0,0,0,0,0
qp03yz,0,0,0,0,0
qp03z0,0,0,0,0,0
qp03z1,0,0,0,0,0
qp03z2,0,0,0,0,0
qp03z3,0,0,0,0,0
qp03z4,0,0,0,0,0
qp03z5,0,0,0,0,0
qp03z6,0,0,0,0,0
qp03z7,0,0,0,0,0
qp03z8,0,0,0,0,0
qp03z9,0,0,0,0,0
qp03zb,0,0,0,0,0
qp03zc,0,0,0,0,0
qp03zd,0,0,0,0,0
qp03ze,0,0,0,0,0
qp03zf,0,0,0,0,0
qp03zg,0,0,0,0,0
qp03zh,0,0,0,0,0
qp03zj,0,0,0,0,0
qp03zk,0,0,0,0,0
qp03zm,0,0,0,0,0
qp03zn,0,0,0,0,0
qp03zp,0,0,0,0,0
qp03zq,0,0,0,0,0
qp03zr,0,0,0,0,0
qp03zs,0,0,0,0,0
qp03zt,0,0,0,0,0
qp03zu,0,0,0,0,0
qp03zv,0,0,0,0,0
qp03zw,0,0,0,0,0
qp03zx,0,0,0,0,0
qp03zy,0,0,0,0,0
qp03zz,0,0,0,0,0
qp06n8,0,0,0,0,0
qp06n9,0,0,0,0,0
qp06nb,0,0,0,0,0
qp06nc,0,0,0,0,0
qp06nd,0,0,0,0,0
qp06ne,0,0,0,0,0
qp06nf,0,0,0,0,0
qp06ng,0,0,0,0,0
qp06ns,0,0,0,0,0
qp06nt,0,0,0,0,0
qp06nu,0,0,0,0,0
qp06nv,0,0,0,0,0
qp06nw,0,0,0,0,0
qp06ny,0,0,0,0,0
qp06p0,0,0,0,0,0
qp06p1,0,0,0,0,0
qp06p2,0,0,0,0,0
qp06p3,0,0,0,0,0
qp06p4,0,0,0,0,0
qp06p5,0,0,0,0,0
qp06p6,0,0,0,0,0
qp06p7,0,0,0,0,0
qp06p8,0,0,0,0,0
qp06p9,0,0,0,0,0
qp06pb,0,0,0,0,0
qp06pc,0,0,0,0,0
qp06pd,0,0,0,0,0
qp06pe,0,0,0,0,0
qp06pf,0,0,0,0,0
qp06pg,0,0,0,0,0
qp06ph,0,0,0,0,0
qp06pj,0,0,0,0,0
qp06pk,0,0,0,0,0
qp06pm,0,0,0,0,0
qp06pn,0,0,0,0,0
qp06pq,0,0,0,0,0
qp06ps,0,0,0,0,0
qp06pt,0,0,0,0,0
qp06pu,0,0,0,0,0
qp06pv,0,0,0,0,0
qp06pw,0,0,0,0,0
qp06py,0,0,0,0,0
qp08b1,0,0,0,0,0
qp08b4,0,0,0,0,0
qp08b5,0,0,0,0,0
qp08b6,0,0,0,0,0
qp08b7,0,0,0,0,0
qp08bd,0,0,0,0,0
qp08be,0,0,0,0,0
qp08bg,0,0,0,0,0
qp08bh,0,0,0,0,0
qp08bj,0,0,0,0,0
qp08bk,0,0,0,0,0
qp08bm,0,0,0,0,0
qp08bn,0,0,0,0,0
qp08bp,0,0,0,0,0
qp08bq,0,0,0,0,0
qp08br,0,0,0,0,0
qp08bs,0,0,0,0,0
qp08bt,0,0,0,0,0
qp08bu,0,0,0,0,0
qp08bv,0,0,0,0,0
qp08bw,0,0,0,0,0
qp08bx,0,0,0,0,0
qp08by,0,0,0,0,0
qp08bz,0,0,0,0,0
qp08c5,0,0,0,0,0
qp08ch,0,0,0,0,0
qp08cj,0,0,0,0,0
qp08ck,0,0,0,0,0
qp08cm,0,0,0,0,0
qp08cn,0,0,0,0,0
qp08cp,0,0,0,0,0
qp08cu,0,0,0,0,0
qp08cv,0,0,0,0,0
qp08cy,0,0,0,0,0
qp08fh,0,0,0,0,0
qp08fj,0,0,0,0,0
qp08fn,0,0,0,0,0
qp08fp,0,0,0,0,0
qp08fq,0,0,0,0,0
qp08fr,0,0,0,0,0
qp08fs,0,0,0,0,0
qp08ft,0,0,0,0,0
qp08fu,0,0,0,0,0
qp08fv,0,0,0,0,0
qp08fw,0,0,0,0,0
qp08fx,0,0,0,0,0
qp08fy,0,0,0,0,0
qp08fz,0,0,0,0,0
qp08g4,0,0,0,0,0
qp08g5,0,0,0,0,0
qp08g6,0,0,0,0,0
qp08g7,0,0,0,0,0
qp08gh,0,0,0,0,0
qp08gj,0,0,0,0,0
qp08gk,0,0,0,0,0
qp08gm,0,0,0,0,0
qp08gn,0,0,0,0,0
qp08gp,0,0,0,0,0
qp08gq,0,0,0,0,0
qp08gr,0,0,0,0,0
qp08gs,0,0,0,0,0
qp08gt,0,0,0,0,0
qp08gu,0,0,0,0,0
qp08gv,0,0,0,0,0
qp08gw,0,0,0,0,0
qp08gx,0,0,0,0,0
qp08gy,0,0,0,0,0
qp08gz,0,0,0,0,0
qp08uj,0,0,0,0,0
qp08un,0,0,0,0,0
qp08up,0,0,0,0,0
qp0900,0,0,0,0,0
qp0901,0,0,0,0,0
qp0902,0,0,0,0,0
qp0903,0,0,0,0,0
qp0904,0,0,0,0,0
qp0905,0,0,0,0,0
qp0906,0,0,0,0,0
qp0907,0,0,0,0,0
qp0908,0,0,0,0,0
qp0909,0,0,0,0,0
qp090b,0,0,0,0,0
qp090c,0,0,0,0,0
qp090d,0,0,0,0,0
qp090e,0,0,0,0,0
qp090h,0,0,0,0,0
qp090j,0,0,0,0,0
qp090k,0,0,0,0,0
qp090m,0,0,0,0,0
qp090n,0,0,0,0,0
qp090p,0,0,0,0,0
qp090q,0,0,0,0,0
qp090r,0,0,0,0,0
qp090s,0,0,0,0,0
qp090t,0,0,0,0,0
qp090v,0,0,0,0,0
qp090w,0,0,0,0,0
qp090x,0,0,0,0,0
qp090y,0,0,0,0,0
qp090z,0,0,0,0,0
qp0917,0,0,0,0,0
qp0919,0,0,0,0,0
qp091d,0,0,0,0,0
qp091e,0,0,0,0,0
qp091f,0,0,0,0,0
qp091g,0,0,0,0,0
qp091h,0,0,0,0,0
qp091j,0,0,0,0,0
qp091k,0,0,0,0,0
qp091m,0,0,0,0,0
qp091n,0,0,0,0,0
qp091p,0,0,0,0,0
qp091q,0,0,0,0,0
qp091r,0,0,0,0,0
qp091s,0,0,0,0,0
qp091t,0,0,0,0,0
qp091u,0,0,0,0,0
qp091v,0,0,0,0,0
qp091w,0,0,0,0,0
qp091x,0,0,0,0,0
qp091y,0,0,0,0,0
qp091z,0,0,0,0,0
qp0920,0,0,0,0,0
qp0921,0,0,0,0,0
qp0922,0,0,0,0,0
qp0923,0,0,0,0,0
qp0924,0,0,0,0,0
qp0925,0,0,0,0,0
qp0926,0,0,0,0,0
qp0927,0,0,0,0,0
qp0928,0,0,0,0,0
qp0929,0,0,0,0,0
qp092b,0,0,0,0,0
qp092d,0,0,0,0,0
qp092e,0,0,0,0,0
qp092h,0,0,0,0,0
qp092j,0,0,0,0,0
qp092k,0,0,0,0,0
qp092m,0,0,0,0,0
qp092n,0,0,0,0,0
qp092p,0,0,0,0,0
qp092q,0,0,0,0,0
qp092r,0,0,0,0,0
qp092s,0,0,0,0,0
qp092t,0,0,0,0,0
qp092w,0,0,0,0,0
qp092x,0,0,0,0,0
qp092z,0,0,0,0,0
qp0930,0,0,0,0,0
qp0931,0,0,0,0,0
qp0932,0,0,0,0,0
qp0933,0,0,0,0,0
qp0934,0,0,0,0,0
qp0935,0,0,0,0,0
qp0936,0,0,0,0,0
qp0937,0,0,0,0,0
qp0938,0,0,0,0,0
qp0939,0,0,0,0,0
qp093b,0,0,0,0,0
qp093c,0,0,0,0,0
qp093d,0,0,0,0,0
qp093e,0,0,0,0,0
qp093f,0,0,0,0,0
qp093g,0,0,0,0,0
qp093h,0,0,0,0,0
qp093j,0,0,0,0,0
qp093k,0,0,0,0,0
qp093m,0,0,0,0,0
qp093n,0,0,0,0,0
qp093p,0,0,0,0,0
qp093q,0,0,0,0,0
qp093r,0,0,0,0,0
qp093s,0,0,0,0,0
qp093t,0,0,0,0,0
qp093u,0,0,0,0,0
qp093v,0,0,0,0,0
qp093w,0,0,0,0,0
qp093x,0,0,0,0,0
qp093y,0,0,0,0,0
qp093z,0,0,0,0,0
qp0941,0,0,0,0,0
qp0942,0,0,0,0,0
qp0943,0,0,0,0,0
qp0944,0,0,0,0,0
qp0945,0,0,0,0,0
qp0946,0,0,0,0,0
qp0947,0,0,0,0,0
qp0948,0,0,0,0,0
qp0949,0,0,0,0,0
qp094b,0,0,0,0,0
qp094c,0,0,0,0,0
qp094d,0,0,0,0,0
qp094e,0,0,0,0,0
qp094f,0,0,0,0,0
qp094g,0,0,0,0,0
qp094h,0,0,0,0,0
qp094j,0,0,0,0,0
qp094k,0,0,0,0,0
qp094m,0,0,0,0,0
qp094n,0,0,0,0,0
qp094p,0,0,0,0,0
qp094q,0,0,0,0,0
qp094r,0,0,0,0,0
qp094s,0,0,0,0,0
qp094t,0,0,0,0,0
qp094u,0,0,0,0,0
qp094v,0,0,0,0,0
qp094w,0,0,0,0,0
qp094x,0,0,0,0,0
qp094y,0,0,0,0,0
qp094z,0,0,0,0,0
qp0950,0,0,0,0,0
qp0951,0,0,0,0,0
qp0952,0,0,0,0,0
qp0953,0,0,0,0,0
qp0954,0,0,0,0,0
qp0955,0,0,0,0,0
qp0956,0,0,0,0,0
qp0957,0,0,0,0,0
qp0958,0,0,0,0,0
qp0959,0,0,0,0,0
qp095b,0,0,0,0,0
qp095c,0,0,0,0,0
qp095d,0,0,0,0,0
qp095e,0,0,0,0,0
qp095f,0,0,0,0,0
qp095g,0,0,0,0,0
qp095h,0,0,0,0,0
qp095j,0,0,0,0,0
qp095k,0,0,0,0,0
qp095m,0,0,0,0,0
qp095n,0,0,0,0,0
qp095p,0,0,0,0,0
qp095q,0,0,0,0,0
qp095r,0,0,0,0,0
qp095s,0,0,0,0,0
qp095t,0,0,0,0,0
qp095u,0,0,0,0,0
qp095v,0,0,0,0,0
qp095w,0,0,0,0,0
qp095x,0,0,0,0,0
qp095y,0,0,0,0,0
qp095z,0,0,0,0,0
qp0960,0,0,0,0,0
qp0961,0,0,0,0,0
qp0962,0,0,0,0,0
qp0963,0,0,0,0,0
qp0964,0,0,0,0,0
qp0965,0,0,0,0,0
qp0966,0,0,0,0,0
qp0967,0,0,0,0,0
qp0968,0,0,0,0,0
qp0969,0,0,0,0,0
qp096b,0,0,0,0,0
qp096c,0,0,0,0,0
qp096d,0,0,0,0,0
qp096e,0,0,0,0,0
qp096f,0,0,0,0,0
qp096g,0,0,0,0,0
qp096h,0,0,0,0,0
qp096j,0,0,0,0,0
qp096k,0,0,0,0,0
qp096m,0,0,0,0,0
qp096n,0,0,0,0,0
qp096p,0,0,0,0,0
qp096q,0,0,0,0,0
qp096r,0,0,0,0,0
qp096s,0,0,0,0,0
qp096t,0,0,0,0,0
qp096u,0,0,0,0,0
qp096v,0,0,0,0,0
qp096w,0,0,0,0,0
qp096x,0,0,0,0,0
qp096y,0,0,0,0,0
qp096z,0,0,0,0,0
qp0970,0,0,0,0,0
qp0971,0,0,0,0,0
qp0972,0,0,0,0,0
qp0973,0,0,0,0,0
qp0974,0,0,0,0,0
qp0975,0,0,0,0,0
qp0976,0,0,0,0,0
qp0977,0,0,0,0,0
qp0978,0,0,0,0,0
qp0979,0,0,0,0,0
qp097b,0,0,0,0,0
qp097c,0,0,0,0,0
qp097d,0,0,0,0,0
qp097e,0,0,0,0,0
qp097f,0,0,0,0,0
qp097g,0,0,0,0,0
qp097h,0,0,0,0,0
qp097j,0,0,0,0,0
